user,vote,star,date,comments
Tity,0,5,2017-09-29,很好，推荐！正看到我们能做什么的时候，书写完了……
分裂,0,5,2017-09-29,严重洗脑
Iceberg,0,4,2017-09-29,脑洞大开，未来未必如此吧
elena,0,5,2017-12-21,陷入了深深的沉思！maybe 数据时代真的要来临了……而我们多数都会成为无用阶级？
kingdongwan,0,5,2017-09-29,达尔文主义、共产主义和自由主义不过是人类从信仰神转到人本主义专注自身体验的三个分支。自由，平等，安全有时意味着互相矛盾和牺牲。如果人类不过是各种算法的产物，连意识也是一种高级算法的产物，那是否意味着有一天终于会产生全面超越人类的智能?那个时候到来的一天，人类该何去何从?
小虾米,0,5,2017-09-29,"生物真的只是算法，而生命也真的只是数据处理吗？
智能和意识，究竟那一个才更有价值？
等到无意识但具备高度智能的算法比我们更了解我们自己时，社会、政治和日常生活将会有什么变化？"
后知后觉,0,4,2017-12-09,在读的时候打的5星，看完打了4星。正如一篇书评说讲到的，很多内容不过是把一些热点内容混合在了一起，比如科技上的和心理经济学等一些比较吸引人的观点等，这些都是以前一些书里讲过的东西，比如《思考快与慢》等，但是能这样系统地娓娓道来，读来感觉还是不错的。
墨林禾,0,5,2017-09-28,赫拉利有一本读后醍醐灌顶的著作。本书可读性强，论述层层递进，逻辑体系严密，读后对于理解未来发展大趋势深有启发。大力推荐！
戴白白,0,4,2017-09-28,有种活在了人类末日的感觉
Pixel,0,4,2017-09-28,还需要重读
无锋之刃,1,5,2017-10-22,这样的历史学家太可怕，新的视角就是上帝视角！
crystal,0,4,2017-09-28,因为看过人类简史，所以感觉未来简史有一点逊啦，但是不妨碍作者给我打开另一扇通往新世界的大门。
齊物者惟不爭,0,5,2017-09-28,很难评论，意识，虚构，自由主义，算法，数据主义，大手笔连连，对人类社会的巨观，将人文主义辐射了三大思想主义，以虚构打造了人类发展的最深刻原因，以数据统筹了人类现在以及未来的可能模式。千头万绪，我们总以解释过去的东西正在消解，意义变得更无意义，自己确认意义，在有限的范围内是对或错。
golfdodo..,0,5,2017-09-28,相当不错的思想著作，只是虎头蛇尾，非常认同前面的论述，对作者的预测则表示不能认同。
Aaron Chang,0,5,2017-09-28,"生命真奇妙,我做的每一個決定,每一個想法,真的是我獨立思考後的結果嗎?還是只是大腦裡的化學變化的結果？  不論未來怎麼樣,開心就好,也許開心也只是一種化學反應,但誰管他呢 ：Ｄ"
杨61,0,5,2017-09-28,读之前以为是有趣的科幻读物，没想到实打实地从宗教主义、人文主义一直慢慢推进到最后让人害怕的数据主义，尽管理论基础之真伪有待商榷，但对大数据时代的分析角度又准又狠，膝盖碎一地。
Grace,0,3,2017-09-27,前一本的延续，这种书总是宏大，但没有深刻
Serene-默墨,0,4,2017-09-27,最喜欢关于数据主义这一部分，认知革命，工业革命，再到如今，我们越来越依赖于数据，宇宙所有都可以归为数据，它就像一个新的宗教，只是信徒信奉的不再是虚无的神而是抽象的数据
Zerro,0,4,2017-10-08,有点醍醐灌顶的感觉，智人不过是一个个模块算法的集合，好像丧失了很多人文气息和美感。
zhangxiaomao,0,5,2017-09-27,听万维钢讲得，“继续生活在虚构中：维护有价值的想像共同体；增加体验提升敏感度；追问内心到底想要什么。”
自然卷,0,3,2017-09-27,也就知乎上营销帖的水平，名不副实
子悦,0,5,2017-09-27,各种想不到，可读性还好，对于自己视野的开阔很有帮助。
june,0,5,2017-09-27,与KK在《失控》里讲的内容不谋而合，人类与机械会在某个时点交汇。算法到底是有机还是无机，有意识还是无意识已经变得不重要。《美丽新世界》中的预言是否会成真？先给我来一颗百忧解。
Godove,0,2,2017-09-27,和《人类简史》相比，差了不止一个档次
听话的苏苏79,0,5,2017-09-27,震撼
布布丁,0,5,2017-09-27,喜欢，先看了这本，马上去看人类简史～从本喵喵的角度上来看当然是意识更为重要啦！
ZZ大小姐,0,5,2017-09-27,另外一个吊炸天的男人，赫拉利。
withparadox2,0,4,2017-09-27,大部分在讲过去和现在，谈到未来时戛然而止，留下一地的未知，弄得我有些不知所措。
floodjoke,0,4,2017-09-27,书评难产中
猫尾先生,0,5,2017-09-26,终于看完了，将近三个月的时间，一万五千字的笔记。这是第一本全程使用印象笔记做笔记的书，值得纪念。
LZ,0,4,2017-09-26,前几章不怎么样，和人类简史太相似，后面还行
Gothic,0,3,2017-10-05,Brave New World
奔跑大奶油,0,4,2017-09-26,一如既往的好
mossadmossad,0,3,2017-09-27,书中许多（不少）观点，无法说服我，而且让我并不欢喜，甚至反感。人确实渺小，但是否那般无关紧要？留在原地的人，是否真的只能面临灭绝？忽然好庆幸，我必然没有机会活到两百年之后。。。
metalody,0,4,2017-09-26,人类简史之后的第二部巨著，强烈推荐
旗。。,0,5,2017-09-26,得到听完的
肖蝴蝶,0,5,2017-11-01,身边所发生的，作者把我们看到的，不会说的都说了，还站在更高的角度给予讲解，推荐，还是这样的书有思想，喜欢
FlaviaWang,0,4,2017-09-25,如果要看关于未来，主要观点在最后一章
叶落尽,0,3,2017-11-20,写到后来作者越来越不知道自己想说什么了
小房子克里斯,0,4,2017-10-03,脑洞够大，穿越时间、跨越生物，描述了一个细思极恐的未来
佐川英树,0,2,2017-09-24,连看书都有刷单的吗？
A有感叹号,0,3,2017-09-24,只能算读过 没有过多评价 
炒个螃蟹🦀️,0,5,2017-09-24,很多段落读来大有豁然开朗之感
鹿白白,0,5,2017-09-24,看了豆瓣的差评er们我还是很震惊的
莫名于心,0,5,2017-09-24,读书计划有点慢，抓紧
茄子咸蛋黄,0,4,2017-09-24,蛮通俗易懂的，也学到了一些知识
哈力图,0,4,2017-09-24,记得以前刘慈欣在某次演讲里提到过：人类社会虽然有种种不平等，但是在生命的长度上始终没有本质的差距。无论是帝王将相，还是凡夫俗子，最多也不过百余岁的寿命。而科技的进步，很有可能打破这种平等。这本书也提出了同样的问题：当一小批人变身超人类，长生不老，剩下的人该怎么办？
一蓑烟雨,0,4,2017-12-16,未来已来
_Lalauren,0,5,2017-09-24,人类从四大革命，到今天人工智能时代。作者提出了一个惊人的观点。说未来智人将会推出世界这个大舞台。作者在书中举出了很多实例，比如，人类生物工程，基因选择。也就是说未来人类可以选择自己的孩子长相，寿命，身体等。这些现在都已经在逐步实现。那就意味着人类将真正实现永生。过去我们知道蔬菜水果分有机无机，未来人类也会分有机无机。这听上去感觉不错，但是如果未来每个人都长生不老，那将会面临怎样的社会问题呢。这本书会告诉你答案
文艺青年,0,5,2017-09-24,虽然跟人类简史内容上有点重复，重点是第三部分的对未来的预测。算法能否取代人类，成为新的霸主？这究竟是作者的一厢情愿，杞人忧天，还是作者的先见之明，还有待时间来验证。。
消失在别处,0,3,2017-11-18,泛泛且啰嗦……大多还是在谈过去和现代，关于未来的畅想也只是情理之中。
lee,0,4,2017-09-24,不论未来究竟走向何方，读完学了很多知识，视角值得思考
甜菜,0,5,2017-09-23,近年来少有的一本读后有醍醐灌顶之感的图书，其文笔及翻译也是难得的优秀流畅。作者文中的所思所想于我也确是心有戚戚，难得知音。
本届、校艹,1,5,2017-09-22,颠覆了我的认知，让我的思维更广阔，对我的帮助不是简简单单几行字能描述出来的。这本书应该是2017年最值得推荐的一本书了，让我知道了人家的思想是多么强大，而我是多么渺小。
里藏,0,5,2017-09-22,"人类还有很大的潜能没开发 
算法对数据的处理可能会从指导人类做决定到自我升级后成一个全新的信息时代,人类对巨大信息处理的无力也可能会让人类成为数据流而消失？意识是影响人类的判断？
我们对未来该报什么态度？"
若安居士,0,5,2017-09-29,可惜豆瓣最多只能给五颗星。
天天看天,0,2,2017-09-22,很一般 没什么干货
裸踝,1,5,2017-09-22,开卷有益，拓展脑洞，改变世界观的著作。
pewdiepie,0,4,2017-09-22,人们往往是有了更强的力量后，才会去思考如何去控制它。
莫西,0,4,2017-09-22,《人类简史》续作，不如《人类简史》写得好，但仍值得一读。
碧眼银狐,0,5,2017-09-22,读完之后才发现，作者和人类简史是同一个人，简直大惊！后面讲述宗教的未来就是科学人文主义和数据主义，我同意的不能再多了。
给我点手纸,0,3,2017-09-22,前面认真的看了几章，关于长寿和满足，还是给了我很多启发，中间几章看着有些老生常谈，没有什么建设性，粗略看了下，最后又提到数据的内容，可能是顺应潮流吧，不过关于隐私和数据公开，也对我有一些启发。结尾抛出3个问题，个人感觉问的比较浅。仁者见仁吧。3星。
阿呆啊,0,4,2017-09-21,主题围绕着经济，政治和宗教三个方面展开，对人类过去的阐述与总结，最后得出生物科技及人工智能发展下这三个方面的会做出改变。全文的某些观点咋一看很扯，但作者可以找到相应的论据予以证明。总体来说确实过誉，读者稍有心思的话，其中的论证方式和推论方法是可以反复研读的。
梁二爷,1,5,2017-09-21,这书老能让人忽然间醍醐灌顶那么一下子
延来,0,5,2017-09-21,大开眼界，看到了许多未曾想过的问题
cicily,0,3,2017-11-28,读了一半怎么感觉一直在谈历史呢..最后有点读不下去了，看来真的不爱这个作者的书，只有看人类简史前面几章的时候感觉有点意思，其他都有些不知所云了...也可能是自己境界不够。
雪晓朝,0,3,2017-09-21,历史学家还是对过去的事儿了解的比较深入
圆缺,0,3,2017-09-21,和人类简史大段重复，提出的观点新颖但无说服力，从历史的角度看未来出发点是好的，但是给自己的选题太难了，导致整本书对于现实的分析和未来的预测都像在bs。太扯。数据主义什么的，看得我尴尬症都犯了。
SumiFF,0,4,2017-09-21,不要太相信自己的大脑 via得到听书
随想,0,5,2017-09-21,黑天鹅在变身成豹，大数据、人工智能、新的世界格局，新的思想体系（宗教）已在悄然酝酿，在我们不知道的时候，突袭，我们就像是待宰的猎物。我们都在猜下一个虚构的信仰在哪里？ 并且利用这个信仰改变真实世界。
zzz830198,0,4,2017-09-21,从自我经验角度，我相信这本书的预测，首先历史已经反复证明：你所依赖的，必将制约于你。其次人类的历史无一不是朝着规模化经济发展，因为其更高效。但人类更善于反思，我们当然不愿看到自己给自己作茧自缚。所以大势不可变，但人类会想办法使自己不成为奴隶。
大眉毛,1,5,2017-12-18,很不错 很多观点第一次意识到
Pumpkin_Snail,0,3,2017-09-20,今年第二本英文书，权当复习单词使用，记住的主题有：1人与动物的不同在于除了主观和客观之外，还有人为创造的情感，比如上帝等宗教；2:人类有认知革命，农业革命，工业革命，科技革命以及即将到来的数据革命；3:自由主义和社会主义都是过去的，接下来是算法主义。总结：程序员，你们的时代！
细水长流,0,3,2017-09-20,前面一大半，哪里讲未来啦？？？？？！
乐燕一飞,0,5,2017-09-20,作为综合了大量学科知识的未来预测，作者旁征博引，总结了历史，预测了未来，给人非常深刻的启迪。
小帷,0,5,2017-09-20,"特别适合现在需要 tell story的工作环境 _(:зゝ∠)_
"
非观赏鱼,0,2,2017-09-20,原谅我实在是看不进去这么厚的书==都是理论知识感觉看不懂……说实话能写那么多作者很神，但是其实看思维导图更有意思也更一目了然。也怪自己没多给点时间好好看书……应该要留多些时间阅读了。主要是开司太好看沉迷其中👀反思反思反思！
威尔士左翼,0,3,2017-09-20,没有《人类简史》那么通俗好读，作者重点还是在讲人文，那意思最后人类还得回到《1984》的世界里呗~“像文化比较这种雷区，自由主义会小心绕开，以免做出政治不正确的失态举动。社会主义是一切交给政党来处理，要找出通过雷区的正确路途。”
艾思考,0,4,2017-09-20,刚看到解读笔记时是很震撼的，再读还是很有意思
草静儿,0,5,2017-09-20,为数不多能够认真读进去的科技类读物。是一本科技发展史，也是一本哲学反思录。折服于作者的博闻强识、观点独到，更重要是生动有趣、简单却引人深思的文字。会收藏的书，推荐。
石矶娘娘,0,3,2017-09-20,三星。密度不及前作。还是值得一看。
冰饮,0,3,2017-09-20,人类会进化到什么形态？
发飙的鸵鸟,0,5,2017-09-20,阅卷前后 判若两人 能量之大 一生难竭
十六圆,0,5,2017-09-19,读书如抽丝啊，3月底买的书总算读完了，脑洞大开
三清,0,4,2017-09-19,视野很开阔，宏观的把人类进化发展的脉络梳理了一遍，讲述条理清晰又不失趣味性。内容本身并无多少新意。
♈咬咬183,0,5,2017-09-19,知识没有改变行为，那就丝毫没有用处，如果改变了行为，那它本身就变得毫无意义。很多时候，是因为人们不愿意承认自己的愚蠢，因此产生了很多神话。
风眠煦阳丶,0,3,2017-09-19,书名叫未来简史可是很多说的是过去和现在的事情，书中举例推理很丰富，可是真的太驳杂，太广泛了，乃至于淹没了要阐述的观点，把我也淹没了。原来作者是人类简史的作者，我就感觉为什么有些内容这么熟悉？开头有吸引我的地方，结尾有亮眼之处，可是中间部分看得太累了。
xsxsxszs,0,0,2017-09-19,得到
筱璇,1,2,2017-12-21,与《人类简史》相去甚远。失望。
奇喀喀,0,3,2017-09-19,过誉了
空,0,5,2017-09-18,人可能越活越便利，但也越活越没有感情。当人不能对现实有所感知，越活越狭隘，越肤浅时，活着有何意义呢？智能与意识，孰轻孰重？对于我，似乎只会是意识。
十日,0,0,2017-09-18,聒噪
Bear,0,5,2017-09-18,读完后反而想投入大数据的怀抱
明天又起不来,0,5,2017-09-18,和人类简史一起读，作者脑洞大，观点很新颖，里面的内容很大胆，推荐！
天空城听风,0,4,2017-09-18,自由人文主义的瓶子终究关不住资本主义这个恶魔再一次走向进化人文主义，无论是科技人文主义还是数据主义或者其他，其最终的胜者实际是新的”进化人文主义“！或许不可抗拒的结果是：少数人成为一种叫智神或超人或上帝的新物种，绝大多数人则被圈养但名字仍然叫“人类”。（p232有伏笔）
柠檬,1,5,2017-09-18,为什么我读完以后会觉得生活好绝望
Eurodin,0,3,2017-10-01,"前两部分和人类简史重复, 第三部分启发内容一般."
大白兔子Raven,0,3,2017-09-18,泛善可陈
ic减肥没成效,0,4,2017-09-18,既然自由意志是伪命题，那就把一切交给生理冲动？
林三333,0,4,2017-10-19,不如人类简史惊艳，但值得一读
超人赵,1,5,2017-09-26,好看，顺畅通透，点透了平时不深刻、不连贯的思考。有理有据有趣，刷新三观。翻译的也特别好。
戴哥,0,4,2017-09-18,最后部分还是开了一扇新的窗
待忆思幂,0,4,2017-09-17,强撤算法流，我是服的。
江小虾,0,3,2017-09-17,没读完……感觉少了《人类简史》的灵气与惊艳
有弹性的菲哥,0,5,2017-10-04,人类以后只想做三件事，不死，快乐，成为神。数据主义会成为新宗教？才华横溢的作者通过此书带着我们陷入到他的逻辑里，并重估一切价值
Orpheus,0,4,2017-09-17,聪明
曹太狼,0,5,2017-09-17,在如此宽广的视角下，恍然有种当下皆不重要的错觉，再结合人类终将淘汰的悲观预言，又难免心生迷惘。唯一的问题是，人类这么精妙复杂的生物体，竟然真的也只是算法吗？
几米梦游,0,4,2017-10-02,比人类简史有意思，但看完感觉更浑沌了，不知道何去何从。
june,0,4,2017-09-17,最近偶然关注了AI和面部识别，看了95版的《攻壳机动队》，也断断续续地读了这一本《未来简史》，感觉自己被这一主题围绕着。好奇人类非理性的一块会有怎样的诠释。译者翻得很好，读起来顺畅。
yaos,0,5,2017-09-17,2017年第一本读完的书。酣畅淋漓，简直了。
不动声色地,0,3,2017-09-17,生物真的只是算法，而生命也真的只是数据处理吗？智能的价值是什么，而意识的价值又在哪里？等到无意识但具备高度智能的算法比我们更了解自己时，对社会、经济、政治有怎样的影响？
Meadow,0,5,2017-09-17,我们文明的未来或许没有我们的一席之地。
HD,0,4,2017-09-17,数据教正在来临
amo,0,0,2017-09-16,尾端精彩
Breeze,0,4,2017-09-16,这本书基本是在地铁上看完的，用的都是简单易懂的语言，而且翻译的相当好，讲的确实很深奥的道理。很多内容也是看过就忘了，但是却也学习了不少知识，更重要的是教会了我要用更深更广的思维思考自己和社会的行为，思考未来的发展方向，思考数据对于我们这个时代的重要性。
uannnn,0,5,2017-09-16,三虎的书单终于有一本认真读过的了…希望读书笔记还在…
王更生//,0,4,2017-09-16,点亮智慧树，却不一定是登高望远。也可能是固步自封
表表,0,5,2017-09-16,把我做成标本，让1100年后的人看到我和我交流，让他们去嘲笑我，审判我，爱戴我。
欢欣之刃,0,5,2017-09-16,窃以为比《人类简史》更好，只是作者似乎有些膨胀。
Ms.Freewheel,0,4,2017-11-17,在读这本书的前几天正好和朋友讨论到自由意志，也正是近年来开始意识到自己并不受自己控制。书中提到人类的选择不是生物预设就是随机，自由就像灵魂一样，只是个空虚的词语，只存在人类发明的想象故事中。
五彩斑岚,0,4,2017-09-15,万万没想到，kindle显示读到81%的时候全书正文结束、这书豆瓣上没有英文版，以及读完赶脚大清要亡了、互联网要统治世界了。虽然没有人类简史读起来易理解、作者预测的未来又玄乎又科幻，不过有一点是真的，信息和数据在目前的社会确实极起重要，我们正在从经济人向信息人转变。
Vill,0,0,2017-09-15,没啥启发
流年的别离,0,4,2017-11-10,看完人类简史，又看了未来简史，可以说有一些失望，整本书前面的部分可以说是人类简史一些理论的赘述，但是这本书最后尤其是对数据的未来预测，让人耳目一新，脱离甚至暗讽电影电视沉浸的科技”觉醒”，而从另一个在我看来更加合理和有趣的角度讲述了未来的发展，而我也一直问自己，是否愿意成为算法？
大意,0,4,2017-09-15,有的观点还是有趣 特别是体验自我和叙事自我那一段
bltee,0,3,2017-09-15,还是推荐一读吧。整本书对了一半，看着不如《人类简史》爽。
San James,0,4,2017-09-15,文化和人类的未来。
王小仙,0,4,2017-09-15,在每天听本书上听的万维钢解读版，当数据统治世界，人类自由意志终结。
雨燕,1,5,2017-09-15,豆瓣上此书褒贬不一，我个人还是很喜欢的，如今的简史、通史书那么多，普遍是从单一角度切入的，尤瓦尔的书打破了各方的壁垒，通过多角度的解读来讲述历史，串起了很多节点，读起来很有味道。
九曜秋叶,0,4,2017-09-15,总觉得作者冷酷运用客观主义寻找各种对他有利的观点，极大忽视了主观的作用，且偏狭隘地、放大一点式的解释很多东西，要么是马克思式的以新的方式看待社会，要么就只是一个偏狭的脑洞，但无论哪个，都不失为一个后乌托邦的提醒警告，没人能说他的话一定不会成真，数据主义也可能真的在不远处等着我们。
大叔爱萌妹,0,4,2017-09-14,本以为会讲人工智能。结果。。。。有点失望
袁长庚,1,5,2017-09-23,读得很慢，惊叹于赫拉利在这样大的篇幅上居然能保持一气呵成的力道，只有亲身经历过这样规模书写的人才能体会这种能量的奇异。那些批评知识深度“不过尔尔”的人不会注意作者架构体系、剪裁资料的手艺（大概是得益于历史学）。读书不是猎奇，视野、脉络、“写法”，这本书值得学习的地方太多。
licheng47,0,4,2017-09-14,看完很多新概念在脑子里面回味，意识真的不重要吗，机器完全可以虚构意识。人类未来以后都是听机器的，以后很多人都是无用的，我要做的就是智人就不错了，神很难理解了。
小实,0,5,2017-09-14,人的行为无非是一系列生化算法的结果，并没有什么独立个体和自我。一旦机器算法拥有足够多的数据，那时人也就没啥价值了。
hajimuz,0,3,2017-09-14,有些例子很新颖，但是并没有多少新观点。另外，本书冒天下之大不韪讨论纳粹的某些合理性让我觉得这个人莫不是想死哦，结果一看，特么作者自己是犹太人…
Sarah,0,5,2017-09-14,对于未来，极有可能实现的大胆猜想。个人觉得，部分内容与第一本人类简史重复。
阿莱克斯,0,5,2017-10-17,值得一看
第22条军规,0,5,2017-09-14,脑洞大开。严格地讲，这本主要内容关于未来的书，应该定义为预言，而非史学范畴。作者基于对过去几千年人类社会高屋建瓴的总结分析，大胆预测人类未来的趋势和走向，提出诸如不死、取得神性和数据主义等观点，虽则在有些人看来有危言耸听，哗众取宠之嫌，但字里行间不乏让人眼前一亮（字数限制，书评）
亦伷,0,4,2017-09-13,首先，这不是纯学术。“生物真的只是算法，而生命也真的只是数据处理吗？”
皓日当空,0,5,2017-09-13,一本可能会改变你人生观和世界观的好书！
☆和☆,0,4,2017-09-13,1.乔布斯生前说过，人文科技将会是以后的趋势。2.人是生物算法吗？我的理解人的意识，是靠算法构建的，而人活着却是纯生物的，意思人存在的意义还是一种算法。3.数据科技会超越人类，那时候更多专业工作将由数据处理器来完成。但是人活着最大的意义就是人有不确定性，可以不选最佳选择。
北辰,0,4,2017-09-26,开拓思维。概述了人类的发展  未来算法主义会成为主流吗  想想很期待但也很恐惧，自己较偏爱人文主义，但趋势无法阻挡。就像作者在文末提出的一个问题，智能和意识哪一个更有价值。   智人能否在未来保持主导地位呢？
Dylan,0,3,2017-09-13,人文主义和宗教理论论述过多 与人类简史有重合 未来部分描述太少
哦,0,5,2017-09-13,太棒了，看到我所没看到的
黑案文王,0,3,2017-09-12,记住了一点，人都是需要崇拜的，比如神灵，比如法老；到了现在就好比公司，像苹果的乔布斯，像阿里巴巴，马云的MJ舞
charcoal,0,5,2018-01-03,愉快的阅读体验，内容与讲述方式精致的结合，独特的视角，有助于开脑洞
一个故事,0,4,2017-09-12,想想自己被AI取代后的生活吧愚蠢的人类
zci,0,5,2017-09-12,人类的历史还是太短暂了，谁说人类就是造物的巅峰呢？
白兔锵锵,0,3,2017-09-12,读完了没什么印象
Booooo,0,5,2017-09-12,好看死了
口哈利,0,3,2018-01-12,科技前所未有的发展究竟会对我们的生活生活产生什么样的影响？人文主义和自由主义会被时代所淘汰吗？我们的未来如果不像20世纪20年代所展望的讲走向共产主义，那么真的会走向数据主义和科技主义吗？人的自我感觉真的只受生物体的影响，我们与其他物种的区别究竟是什么？如果自己的感觉不再重要，那生命的意义，或快乐的源泉在哪里呢？
言矮吾,0,3,2017-09-12,不是人工智能是否能替代人类，而是你活成了“人工智能”！
阿驰Archer,1,5,2017-12-16,赫拉力的书就像在读爽文小说，停不下来 哈哈哈哈
Deemo,0,5,2017-09-12,如果生命只是算法，那么人生的意义便是虚假的。不过我还是喜欢沉浸在虚假的幻想中。
深深,0,4,2017-09-11,这本书远甚于人类简史！它提供了一种超前的思路，非常有益，值得一读！科技开始之前，我们往往低估它，开始了之后又常常去高估。
风满袖,0,4,2017-09-12,2017年464本：万物互联，数据为王，神人永生。
哎你来晚了,0,4,2017-09-11,有理有据的唱衰科技！
fly,0,4,2017-09-11,前面略为平淡，可能和前作《人类简史》有重合，但最后两章惊喜
NotUnhappy,0,4,2017-09-11,"数据流的思维 也算是 比较新颖了？
"
Ilyfe,0,4,2017-09-11,未来也许真的不一样了，从哲学的定性~数学的定量~直到两者相统一的落地~人类第一次彻底的融会贯通~
罗锅,0,4,2017-09-12,"""信息自由就是最高的善"""
conflict,0,4,2017-09-10,堪忧啊
布谷声声,0,4,2017-09-10,断断续续地读了很久，在《人类简史》之后。有很多观点还是延续人类简史的观点，所以可以从一半读起。不过，作者提出来的未来设想确实应该引起思考。数据时代已然来临，未来发展趋势是否智人会被消灭？思考智人的优势哪些是人工智能所不能取代的。
goldenday,0,5,2017-09-10,值得一看，算法解释一切。
crazy-ball,0,2,2017-09-10,观点不如人类简史那么犀利独到，没有达到预期。总体感觉就是展望未来的可能性，没有特别出色的论断，只是把当下的知识归纳总结起来。文章也是很多可有可无的案例堆砌，陈述很冗杂，有失水准。
知行合一,0,2,2017-09-10,前8章与前作太过相似，后面章节满口主义，空谈无物。
安妮,0,5,2017-09-10,"改变历史的是人的想象人的差别不是意识，而是互联主观（通过共同的想象中的意义，把众多人组织起来）人文主义中胜出的自由主义有很大的缺陷，未来数据教会战胜一切感悟：1.赫拉利的知识储备太强 2逻辑自洽 脑洞够大 3.从宏观的视角找细节，作证自己的论点，很扎实，无处反驳，又细思极恐"
八上,0,3,2017-09-10,太啰嗦啦。未来人类会失去价值吗？也许吧。
有质感的小熊,0,5,2017-09-09,唱：“未来会怎么，究竟有谁会知道！”答案是：人工智能！非常钦佩这位以色列人，太有洞识了。
水瓶的萍22,0,4,2017-09-09,看过人类简史的，从第7章开始看就可以了，都翻烂了才看完。我不认为书里的预言会真的实现，但提供了一种更有想象力的思维方式
Marz,0,5,2017-09-09,颠覆三观的一本书。我认为作者所描绘的未来并不是绝对的，这本书存在的意义是让我们思考，究竟要以什么样的速度去改变，让人类这个种族”进步“。而且让人思考，究竟我们的意识存在是有意义的吗？还是说和宇宙中任何一种事物一样只是单纯的算法？人类不愿意承认这个事实，可却在逐渐被事实吞没
大牛,0,4,2017-09-09,读来有点让人颤抖，大数据和智能时代的来临，要求我更应该培养创新性的能力
养猪大户,0,3,2017-09-09,有些观点是很新颖，但是也不至于过高期望。
徐丝,1,5,2017-10-02,非常震撼，看过的书中最具有启发性思维的，从历史到科技，从计算机到生物学，赫拉利简直是个神话。
lachie,0,3,2017-09-09,完全不能和人类简史相比
追_wish,0,4,2017-09-08,生活正在数据化，以后的生活也会越来越智能，人工智能会不会有独立意识也只是时间问题
Saberavalon,0,5,2017-09-08,此书相对于人类简史更有超前意识，尤其是其中提到的生物算法令人深思。
央蘭,0,4,2017-09-08,有些想法有点片面
yiko,0,5,2017-09-08,数据算法会成为最后的决策？那意识呢 如果意识也是百万年的算法
皿_皿,0,5,2017-09-08,#得到# 对于宗教的理解很有趣的角度，研究历史是为了可以选择不走一些路
楞莲凌赖,0,4,2017-09-08,"很多观点都不敢苟同
但叙事自我和体验自我倒是给了我很大的启发"
yuetwing_xd,0,5,2017-09-08,共鸣感来自每个人都在当下的环境里对自己的未来有隐藏的被替代感，谁也不想被时代抛弃～
盖尔曼的猫,0,4,2017-09-07,意识这个东西，以后真的还会有意义吗
K.E.，,0,2,2017-09-07,nothing special
任嘉伦的小仙女,0,4,2017-10-15,算是人类简史的延续，其中关于生物学的未来和方向以及对人类的影响我是很认同的。其实这本书并没有过多的描绘未来会怎么样，而是先回顾了人类如何征服世界、科学宗教一路以来的发展以及人文主义等的出现和影响。这本书相比人类简史略微逊色，但仍值得一读。
机智的毛星人！,0,4,2017-09-07,前面大部分大致在复述之前的人类简史的观点，之后的观点读来让人惶恐不已，当数量不再重要的时候，现有体系真的能保留下来么？
儒墨释道,0,4,2017-09-07,也许对一个从不看科幻书籍、电影或者玩科幻游戏的人来说观点是石破天惊的，但在我看来并不是很新鲜，但值得一读。
joyone,0,1,2017-09-07,一星，不可再多
〣( ºΔº )〣,0,5,2017-09-07,很好一本书。
精哲,0,3,2017-09-07,和人类简史相比差远了
Джейн,0,4,2017-09-06,都是被历史洪流裹挟着向前。思维上的丝丝波澜，不要说对宇宙，哪怕是对我自己都难以察觉。
月氏,0,1,2017-09-06,概括地说，把全书得以成立的基础建立在“人的全部实际上只是算法”这一条简陋而明显可疑的论断上。就可以说这本书的写作是失败的。这样的翻译让我个人觉得全书像几篇演讲稿的整合
yoory,0,4,2017-09-06,刚好上周家里两个人体检都有点小问题 在医院反复辗转的检查间隙 我一直在想早日研发量产出通用医疗纳米机器人就好了 但科技飞速到了那个地步（某个程度也能说当下） 人类也必然被科技反噬 至于自由意识还是生物预设 不能大范围干预前提下不还是该干嘛干嘛么
纸鸢,0,5,2017-09-06,很好的未来规划指南书
蓝灰灰,0,4,2017-09-06,也可能是听的得到万维刚音频版，没有体会到万众膜拜的感觉。的确脑洞大开，或者，耸听。
小名钱如意,0,4,2017-09-06,他是反对生命只是算法的，对吧？
中稚若鱼,0,4,2017-09-05,看下朋友圈就知道什么才是现今人类的新议题：尤瓦尔未来无需多虑自然美丽新世界，没老婆下场不堪设想科幻黑客灭帝国。
怎么没暖气,0,5,2017-09-05,紧接着《人类简史》的思路展望未来，条件扎实，逻辑完备，语言形象而不晦涩，结论却令人惊愕，读时给人以震撼，读完让人陷入深思，而且如果愿意结合自己的生活环境来理解其中问题的话，会发现这本书带给人很多生活的启迪，让人变得豁达，这是读书的最高价值吧！
Rain and Tears,0,4,2017-09-05,正如作者所说，了解得越多就越困惑
Lumi,0,2,2017-09-05,描述人文主义的那一部分很有价值，其他部分已经被太多作品和小伙伴讨论过太多次了，实在一般… 对AI有过了解和思考的小伙伴可直接略过此书了
夏至de,0,4,2017-09-05,这本书看起来没有人类简史有意思。但是如果考虑是独立的书籍，总要为没读过人类简史的人考虑，那么重新描述思想很合理。文字很流畅，应该能让很多人有收获。说实话，从没有一本书适合所有的人。或者除非那本叫<圣经>?
Mr.Raindrop,0,5,2017-09-05,推荐给所有人 我要为作者颠覆我的世界观说一声谢谢 然后觉得很开心作者的一些想法能和我以前的一个想法很接近 “如果我能知道过去所有的事 那我就能知道未来所有的事”
